;Distinct;perp_race;crimes;sumofcrimes;%ofcrimes;perp_race_norm;count;%przestêpców_w_populacji;%ofpop;%ofcrimes/%pop*100
1;Bronx;Asian;479;31375;0,0153;asian;54326;0,881714096;1,964960152;0,778641744
2;Bronx;BLACK;14905;31375;0,4751;black;418455;3,561912273;15,13543055;3,138992302
3;Bronx;Hispanic;14881;31375;0,4743;hispanic;823695;1,806615313;29,7928773;1,591991251
4;Bronx;Nonwhite;74;31375;0,0024;nonwhite;1336118;0,005538433;48,32711092;0,004966157
5;Bronx;WHITE;1036;31375;0,033;white;132144;0,78399322;4,779621071;0,690431302
6;Brooklyn;Asian;2226;39802;0,0559;asian;612635;0,363348486;15,03230559;0,371865777
7;Brooklyn;BLACK;22337;39802;0,5612;black;402041;5,555901015;9,864932906;5,688837475
8;Brooklyn;Hispanic;9969;39802;0,2505;hispanic;667676;1,493089463;16,38285385;1,529037629
9;Brooklyn;Nonwhite;93;39802;0,0023;nonwhite;1804400;0,005154068;44,27480017;0,005194829
10;Brooklyn;WHITE;5177;39802;0,1301;white;588704;0,879389303;14,44510749;0,900650965
11;Manhattan;Asian;1259;32746;0,0384;asian;317346;0,396727862;7,353862304;0,522174585
12;Manhattan;BLACK;16167;32746;0,4937;black;775735;2,084087994;17,97611558;2,746422039
13;Manhattan;Hispanic;11414;32746;0,3486;hispanic;509924;2,238372777;11,81647439;2,950118526
14;Manhattan;Nonwhite;108;32746;0,0033;nonwhite;1716924;0,006290319;39,78629849;0,008294313
15;Manhattan;WHITE;3798;32746;0,116;white;995436;0,381541355;23,06724924;0,502877473
16;Queens;Asian;3975;28386;0,14;asian;196957;2,01820702;7,892976723;1,773728783
17;Queens;BLACK;10640;28386;0,3748;black;201964;5,268265631;8,09363034;4,630802054
18;Queens;Hispanic;11105;28386;0,3912;hispanic;427297;2,598894914;17,12376445;2,284544389
19;Queens;Nonwhite;161;28386;0,0057;nonwhite;889645;0,018097106;35,65218437;0,0159878
20;Queens;WHITE;2505;28386;0,0882;white;779482;0,321367267;31,23744412;0,282353446
21;Staten Island;Asian;261;6045;0,0432;asian;51292;0,508851283;7,541665748;0,572817749
22;Staten Island;BLACK;2527;6045;0,418;black;44881;5,630444954;6,599031046;6,334263274
23;Staten Island;Hispanic;1512;6045;0,2501;hispanic;90748;1,666152422;13,34303757;1,874385788
24;Staten Island;Nonwhite;37;6045;0,0061;nonwhite;199250;0,018569636;29,29651603;0,020821588
25;Staten Island;WHITE;1708;6045;0,2825;white;293944;0,58106306;43,2197496;0,653636364
