"";"X";"Distinct";"perp_race";"n";"count";"populacja";"przestepstwa";"stosunek"
"1";1;"Bronx";"Asian";479;54326;2764738;31375;11,348272422197
"2";2;"Bronx";"BLACK";14905;418455;2764738;31375;11,348272422197
"3";3;"Bronx";"Hispanic";14881;823695;2764738;31375;11,348272422197
"4";4;"Bronx";"Nonwhite";74;1336118;2764738;31375;11,348272422197
"5";5;"Bronx";"WHITE";1036;132144;2764738;31375;11,348272422197
"6";6;"Brooklyn";"Asian";2226;612635;4075456;39802;9,7662690997032
"7";7;"Brooklyn";"BLACK";22337;402041;4075456;39802;9,7662690997032
"8";8;"Brooklyn";"Hispanic";9969;667676;4075456;39802;9,7662690997032
"9";9;"Brooklyn";"Nonwhite";93;1804400;4075456;39802;9,7662690997032
"10";10;"Brooklyn";"WHITE";5177;588704;4075456;39802;9,7662690997032
"11";11;"Manhattan";"Asian";1259;317346;4315365;32746;7,5882341354671
"12";12;"Manhattan";"BLACK";16167;775735;4315365;32746;7,5882341354671
"13";13;"Manhattan";"Hispanic";11414;509924;4315365;32746;7,5882341354671
"14";14;"Manhattan";"Nonwhite";108;1716924;4315365;32746;7,5882341354671
"15";15;"Manhattan";"WHITE";3798;995436;4315365;32746;7,5882341354671
"16";16;"Queens";"Asian";3975;196957;2495345;28386;11,375581332441
"17";17;"Queens";"BLACK";10640;201964;2495345;28386;11,375581332441
"18";18;"Queens";"Hispanic";11105;427297;2495345;28386;11,375581332441
"19";19;"Queens";"Nonwhite";161;889645;2495345;28386;11,375581332441
"20";20;"Queens";"WHITE";2505;779482;2495345;28386;11,375581332441
"21";21;"Staten Island";"Asian";261;51292;680115;6045;8,88820273042059
"22";22;"Staten Island";"BLACK";2527;44881;680115;6045;8,88820273042059
"23";23;"Staten Island";"Hispanic";1512;90748;680115;6045;8,88820273042059
"24";24;"Staten Island";"Nonwhite";37;199250;680115;6045;8,88820273042059
"25";25;"Staten Island";"WHITE";1708;293944;680115;6045;8,88820273042059
