"";"arrest_key";"a_date";"Arrest_manner";"ofns_desc";"law_cat_cd";"age_group";"perp_sex";"perp_race";"Distinct";"month";"season"
"1";300046763;2025-01-26;"Patrol";"DANGEROUS WEAPONS";"F";"25-44";"M";"WHITE";"Staten Island";1;"Winter"
"2";301456541;2025-02-21;"Patrol";"OTHER STATE LAWS (NON PENAL LAW)";"M";"25-44";"M";"Hispanic";"Manhattan";2;"Winter"
"3";298902696;2025-01-05;"Patrol";"MISCELLANEOUS PENAL LAW";"F";"25-44";"M";"BLACK";"Bronx";1;"Winter"
"4";298787924;2025-01-02;"Transit";"OTHER OFFENSES RELATED TO THEFT";"M";"45-64";"M";"Hispanic";"Manhattan";1;"Winter"
"6";299115527;2025-01-08;"Patrol";"PETIT LARCENY";"M";"25-44";"M";"BLACK";"Manhattan";1;"Winter"
"7";299129344;2025-01-08;"Patrol";"VEHICLE AND TRAFFIC LAWS";"M";"25-44";"M";"Hispanic";"Brooklyn";1;"Winter"
"8";300122488;2025-01-27;"Transit";"OTHER OFFENSES RELATED TO THEFT";"M";"45-64";"M";"BLACK";"Queens";1;"Winter"
"9";303381055;2025-03-21;"Patrol";"SEX CRIMES";"M";"25-44";"M";"Hispanic";"Manhattan";3;"Spring"
"10";300404305;2025-02-01;"Patrol";"OFFENSES INVOLVING FRAUD";"M";"25-44";"M";"BLACK";"Brooklyn";2;"Winter"
"11";299812364;2025-01-21;"Transit";"OFFENSES AGAINST PUBLIC ADMINI";"M";"25-44";"M";"Hispanic";"Queens";1;"Winter"
"12";299633688;2025-01-17;"Patrol";"VEHICLE AND TRAFFIC LAWS";"M";"25-44";"F";"BLACK";"Brooklyn";1;"Winter"
"13";300412302;2025-02-02;"Transit";"FELONY ASSAULT";"F";"45-64";"M";"BLACK";"Manhattan";2;"Winter"
"14";302072997;2025-03-05;"Patrol";"MISCELLANEOUS PENAL LAW";"F";"25-44";"M";"WHITE";"Brooklyn";3;"Spring"
"15";299510462;2025-01-16;"Patrol";"ROBBERY";"F";"25-44";"M";"Hispanic";"Brooklyn";1;"Winter"
"16";298794906;2025-01-02;"Transit";"DANGEROUS DRUGS";"M";"25-44";"M";"BLACK";"Queens";1;"Winter"
"17";298787887;2025-01-02;"Patrol";"PETIT LARCENY";"M";"45-64";"M";"BLACK";"Bronx";1;"Winter"
"18";299539997;2025-01-16;"Patrol";"OFF. AGNST PUB ORD SENSBLTY &";"M";"25-44";"M";"Hispanic";"Bronx";1;"Winter"
"19";300222581;2025-01-29;"Transit";"OFFENSES AGAINST PUBLIC ADMINI";"M";"18-24";"M";"BLACK";"Bronx";1;"Winter"
"20";299019888;2025-01-07;"Patrol";"OFFENSES INVOLVING FRAUD";"M";"45-64";"F";"BLACK";"Manhattan";1;"Winter"
"21";299966995;2025-01-24;"Patrol";"BURGLARY";"F";"45-64";"M";"WHITE";"Queens";1;"Winter"
"22";299746052;2025-01-20;"Patrol";"ROBBERY";"F";"18-24";"M";"Asian";"Queens";1;"Winter"
"23";299149280;2025-01-09;"Patrol";"GRAND LARCENY OF MOTOR VEHICLE";"F";"18-24";"F";"Hispanic";"Queens";1;"Winter"
"24";300468690;2025-02-03;"Patrol";"PETIT LARCENY";"M";"45-64";"M";"Hispanic";"Manhattan";2;"Winter"
"25";300434255;2025-02-02;"Patrol";"OFF. AGNST PUB ORD SENSBLTY &";"M";"25-44";"F";"Hispanic";"Brooklyn";2;"Winter"
"27";300889283;2025-02-11;"Transit";"OTHER OFFENSES RELATED TO THEFT";"M";"25-44";"M";"Nonwhite";"Queens";2;"Winter"
"28";303427527;2025-03-22;"Patrol";"ASSAULT 3 & RELATED OFFENSES";"M";"45-64";"F";"Hispanic";"Bronx";3;"Spring"
"29";299937261;2025-01-23;"Patrol";"SEX CRIMES";"M";"25-44";"M";"Hispanic";"Manhattan";1;"Winter"
"30";303489814;2025-03-23;"Patrol";"CRIMINAL MISCHIEF & RELATED OF";"F";"25-44";"M";"Hispanic";"Bronx";3;"Spring"
"31";299241810;2025-01-10;"Transit";"OTHER OFFENSES RELATED TO THEFT";"M";"25-44";"M";"BLACK";"Manhattan";1;"Winter"
"32";301734364;2025-02-26;"Patrol";"SEX CRIMES";"M";"25-44";"F";"Hispanic";"Brooklyn";2;"Winter"
"33";299320815;2025-01-12;"Patrol";"OTHER TRAFFIC INFRACTION";"M";"25-44";"M";"Hispanic";"Bronx";1;"Winter"
"34";298939051;2025-01-05;"Patrol";"FORGERY";"F";"25-44";"F";"BLACK";"Manhattan";1;"Winter"
"35";300784175;2025-02-08;"Transit";"ASSAULT 3 & RELATED OFFENSES";"M";"25-44";"M";"Hispanic";"Bronx";2;"Winter"
"36";299612678;2025-01-17;"Patrol";"CRIMINAL MISCHIEF & RELATED OF";"F";"25-44";"F";"BLACK";"Brooklyn";1;"Winter"
"37";299234034;2025-01-10;"Patrol";"DANGEROUS DRUGS";"M";"45-64";"M";"Hispanic";"Brooklyn";1;"Winter"
"38";299407221;2025-01-14;"Patrol";"BURGLARY";"F";"25-44";"M";"Hispanic";"Queens";1;"Winter"
"39";298767885;2025-01-02;"Transit";"OTHER OFFENSES RELATED TO THEFT";"M";"25-44";"M";"Asian";"Bronx";1;"Winter"
"40";298970044;2025-01-06;"Patrol";"ASSAULT 3 & RELATED OFFENSES";"M";"25-44";"M";"BLACK";"Queens";1;"Winter"
"41";299030217;2025-01-07;"Patrol";"DANGEROUS DRUGS";"M";"45-64";"M";"Hispanic";"Brooklyn";1;"Winter"
"42";301801648;2025-02-27;"Patrol";"PETIT LARCENY";"M";"25-44";"M";"BLACK";"Bronx";2;"Winter"
