"";"Patrol";"Transit";"Housing"
"ADMINISTRATIVE CODE";57;26;3
"ADMINISTRATIVE CODES";1;0;0
"ALCOHOLIC BEVERAGE CONTROL LAW";132;0;1
"ANTICIPATORY OFFENSES";110;0;0
"ARSON";22;0;2
"ASSAULT 3 & RELATED OFFENSES";17918;417;926
"BURGLAR'S TOOLS";349;45;5
"BURGLARY";3421;10;26
"CANNABIS RELATED OFFENSES";149;0;5
"CHILD ABANDONMENT/NON SUPPORT 1";54;0;5
"CRIMINAL MISCHIEF & RELATED OF";5432;381;259
"CRIMINAL TRESPASS";1034;361;274
"DANGEROUS DRUGS";9900;1247;607
"DANGEROUS WEAPONS";4163;790;188
"DISORDERLY CONDUCT";16;51;0
"ESCAPE 3";2;1;0
"FELONY ASSAULT";10562;162;453
"FORGERY";2006;240;37
"FRAUDS";400;364;29
"FRAUDULENT ACCOSTING";20;3;0
"GAMBLING";387;0;10
"GRAND LARCENY";4949;93;38
"GRAND LARCENY OF MOTOR VEHICLE";775;4;10
"HARRASSMENT 2";32;2;4
"HOMICIDE-NEGLIGENT-VEHICLE";1;0;0
"HOMICIDE-NEGLIGENT,UNCLASSIFIE";10;0;0
"INTOXICATED & IMPAIRED DRIVING";1350;1;10
"INTOXICATED/IMPAIRED DRIVING";150;1;3
"JOSTLING";11;13;0
"KIDNAPPING & RELATED OFFENSES";58;0;1
"LOITERING/GAMBLING (CARDS, DIC";1;0;0
"MISCELLANEOUS PENAL LAW";8595;205;454
"MOVING INFRACTIONS";162;0;4
"MURDER & NON-NEGL. MANSLAUGHTE";905;6;6
"NEW YORK CITY HEALTH CODE";0;2;0
"OFF. AGNST PUB ORD SENSBLTY &";2385;83;151
"OFFENSES AGAINST PUBLIC ADMINI";3679;842;246
"OFFENSES AGAINST PUBLIC SAFETY";66;4;2
"OFFENSES AGAINST THE PERSON";732;87;29
"OFFENSES INVOLVING FRAUD";1648;20;52
"OFFENSES RELATED TO CHILDREN";46;0;2
"OTHER OFFENSES RELATED TO THEFT";1282;6995;10
"OTHER STATE LAWS";1737;1750;93
"OTHER STATE LAWS (NON PENAL LAW)";215;34;3
"OTHER TRAFFIC INFRACTION";1094;0;46
"PETIT LARCENY";13927;105;100
"POSSESSION OF STOLEN PROPERTY";1769;49;44
"PROSTITUTION & RELATED OFFENSES";480;0;0
"RAPE";438;1;14
"ROBBERY";5309;77;73
"SEX CRIMES";2868;95;145
"THEFT-FRAUD";185;0;0
"UNAUTHORIZED USE OF A VEHICLE";241;0;6
"UNLAWFUL POSS. WEAP. ON SCHOOL";1;0;0
"VEHICLE AND TRAFFIC LAWS";7835;4;326
